gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,placed,salary
F,74.0,Others,73.0,Others,Commerce,73.0,Comm&Mgmt,1,80.0,Mkt&Fin,67.69,1,210000.0
M,61.0,Others,62.0,Others,Commerce,65.0,Comm&Mgmt,0,62.0,Mkt&Fin,56.81,1,250000.0
M,41.0,Central,42.0,Central,Science,60.0,Comm&Mgmt,0,97.0,Mkt&Fin,53.39,0,
M,83.33,Central,78.0,Others,Commerce,61.0,Comm&Mgmt,1,88.56,Mkt&Fin,71.55,1,300000.0
F,43.0,Central,60.0,Others,Science,65.0,Comm&Mgmt,0,92.66,Mkt&HR,62.92,0,
M,62.0,Central,72.0,Central,Commerce,65.0,Comm&Mgmt,0,67.0,Mkt&Fin,56.49,1,216000.0
M,80.6,Others,82.0,Others,Commerce,77.6,Comm&Mgmt,0,91.0,Mkt&Fin,74.49,1,400000.0
M,58.0,Others,60.0,Others,Science,72.0,Sci&Tech,0,74.0,Mkt&Fin,53.62,1,275000.0
M,67.0,Others,67.0,Others,Commerce,73.0,Comm&Mgmt,1,59.0,Mkt&Fin,69.72,1,295000.0
F,74.0,Others,66.0,Others,Commerce,58.0,Comm&Mgmt,0,70.0,Mkt&HR,60.23,1,204000.0
M,62.0,Central,58.0,Others,Science,53.0,Comm&Mgmt,0,89.0,Mkt&HR,60.22,0,
